"LIQUIDO A GRANEL"
"Navio
Ship";"Bandeira
Flag";"Com/Len
Cal/Draft";"Nav";"Cheg/Arrival
d/m/y";"Carimbo
Notice";"Agência
Office";"Operaç
Operat";"Mercadoria
Goods";"Peso
Weight";"Viagem
Voyage";"DUV";"P";"Terminal";"IMO"
"COSCO SHIPPING ARGENTINA";"HONG KONG";"336
11.8";"Long";"24/09/2025 07:00:00";"";"COSCO BRASIL S/A";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"3600
9000";"4218-6
2025";"422322025";"B";"TECON";"09945849";""
"EVER FINE";"PANAMENHA";"334
13.5";"Long";"24/09/2025 07:00:00";"";"EVERGREEN SHIPPING AGENCY(BR) SA";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"19800
180";"4238-7
2025";"423902025";"B";"TECON";"09850812";""
"CMA CGM SANTOS (REB S/L)";"BRASILEIRA";"228
10";"Cabo";"24/09/2025 12:00:00";"";"UNIMAR AGENCIAMENTOS MARITIMOS LTDA";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"12600
4500";"4339-8
2025";"434772025";"B";"TECON";"09649835";""
"MAERSK VENEZIA";"HONG KONG";"186
9";"Long";"24/09/2025 12:09:00";"";"LACHMANN AGENCIA MARITIMA LTDA";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"1800
1800";"4176-1
2025";"353042025";"B";"B.T.P. 1";"09344681";""
"MSC AGADIR";"HONG KONG";"300
14.2";"Long";"24/09/2025 15:00:00";"";"MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"18000
1800";"4300-4
2025";"429052025";"B";"B.T.P. 1";"09619464";""
"LOG-IN PANTANAL (REB)";"BRASILEIRA";"183
9.1";"Cabo";"24/09/2025 17:00:00";"";"MSC MEDITERRANEAN SHIPPING DO BR";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"7200
7200";"4340-6
2025";"432202025";"B";"TECON";"09351799";""
"MOL EXPERIENCE";"PANAMENHA";"294
12.5";"Long";"24/09/2025 19:00:00";"";"OCEAN NETWORK EXPRESS (LATIN AMERICA) AGENCIA MARITIMA LTDA";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"15300
9000";"3902--
2025";"391592025";"B";"EPORT 1/TECON 1";"09333838";""
"IRENES RULE";"ILHAS MARSHALL";"186
7";"Long";"25/09/2025";"";"ROCHAMAR AGENCIA MARITIMA S/A";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"4464
2412";"4202-2
2025";"422212025";"B";"TECON";"09953561";""
"BARTOLOMEU DIAS";"BRASILEIRA";"255
9";"Cabo";"25/09/2025 02:01:00";"";"LACHMANN AGENCIA MARITIMA LTDA";"EMB
";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"1800
";"4184-4
2025";"379832025";"B";"EPORT 1/TECON 1";"09625384";""
"BREMERHAVEN EXPRESS";"LIBERIANA";"300
5";"Long";"25/09/2025 10:00:00";"";"ROCHAMAR AGENCIA MARITIMA S/A";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"17370
360";"4241-8
2025";"424472025";"B";"B.T.P. 1";"09723253";""
"ENSENADA";"LIBERIANA";"279
10";"Long";"25/09/2025 12:00:00";"";"UNIMAR AGENCIAMENTOS MARITIMOS LTDA";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"12600
4500";"4344-1
2025";"435172025";"B";"TECON";"09247546";""
"MSC SOFIA PAZ";"LIBERIANA";"300
13.8";"Long";"25/09/2025 21:00:00";"";"MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"27000
1800";"4374-8
2025";"429212025";"B";"B.T.P. 1";"09695028";""
"KOTA PAHLAWAN";"SINGAPURENSE";"330
8";"Long";"26/09/2025";"";"UNIMAR AGENCIAMENTOS MARITIMOS LTDA";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"12600
12600";"4342-9
2025";"428872025";"B";"29-TECON";"09786712";""
"COSCO SHIPPING CHILE";"HONG KONG";"336
12.4";"Long";"26/09/2025 07:00:00";"";"COSCO BRASIL S/A";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"9000
3600";"4214--
2025";"422362025";"B";"TECON";"09945887";""
"MSC PHOENIX";"LIBERIANA";"300
9";"Long";"26/09/2025 09:00:00";"";"MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"1800
18000";"4351-8
2025";"435082025";"B";"EPORT 1/TECON 1";"09267649";""
"MAERSK JAIPUR";"MALTESA";"222
9";"Long";"26/09/2025 09:45:00";"";"LACHMANN AGENCIA MARITIMA LTDA";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"1800
1800";"4186-7
2025";"372632025";"B";"EPORT 1/TECON 1";"09343974";""
"AMÉRICO VESPÚCIO";"BRASILEIRA";"228
9";"Cabo";"26/09/2025 14:00:00";"";"LACHMANN AGENCIA MARITIMA LTDA";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"3600
3600";"4183-8
2025";"389422025";"B";"EPORT 1/TECON 1";"09603233";""
"SANTA INES";"DINAMARQUESA";"300
9";"Long";"26/09/2025 20:00:00";"";"LACHMANN AGENCIA MARITIMA LTDA";"EMB
";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"1800
";"4173-2
2025";"387542025";"B";"TECON";"09444845";""
"MSC NERISSA V";"PANAMENHA";"294
13.5";"Long";"27/09/2025 04:00:00";"";"MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"12600
1800";"4370-2
2025";"434642025";"B";"B.T.P. 1";"09278155";""
"EVER FAST";"LIBERIANA";"334
13";"Long";"27/09/2025 07:00:00";"";"EVERGREEN SHIPPING AGENCY(BR) SA";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"180
19800";"4081--
2025";"410492025";"B";"TECON";"09850874";""
"MAERSK LANCO";"DINAMARQUESA";"300
9";"Long";"27/09/2025 10:54:00";"";"LACHMANN AGENCIA MARITIMA LTDA";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"1800
1800";"4177-8
2025";"375712025";"B";"B.T.P. 1";"09527049";""
"CMA CGM NERVAL";"MALTESA";"300
10";"Long";"27/09/2025 12:00:00";"";"UNIMAR AGENCIAMENTOS MARITIMOS LTDA";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"12600
4500";"4368-8
2025";"436232025";"B";"TECON";"09406623";""
"LE HAVRE EXPRESS";"LIBERIANA";"293
9";"Long";"28/09/2025";"";"ROCHAMAR AGENCIA MARITIMA S/A";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"18666
126";"4272--
2025";"424922025";"B";"EPORT 1/TECON 1";"09332872";""
"MAERSK MONTE ALEGRE";"SINGAPURENSE";"272
9";"Long";"28/09/2025 00:13:00";"";"LACHMANN AGENCIA MARITIMA LTDA";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"1800
1800";"4185--
2025";"410602025";"B";"EPORT 1/TECON 1";"09348065";""
"MAERSK LABREA";"DINAMARQUESA";"300
9";"Long";"28/09/2025 01:00:00";"";"LACHMANN AGENCIA MARITIMA LTDA";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"1800
1800";"4178-4
2025";"375532025";"B";"B.T.P. 1";"09527063";""
"SAN AUGUSTIN MAERSK";"DINAMARQUESA";"333
9";"Long";"28/09/2025 08:00:00";"";"LACHMANN AGENCIA MARITIMA LTDA";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"1800
1800";"4163-7
2025";"392412025";"B";"EPORT 1/TECON 1";"09622239";""
"MSC YAMUNA VI";"PORTUGUESA";"281
10.4";"Long";"28/09/2025 15:00:00";"";"MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"1800
14400";"4372-5
2025";"431692025";"B";"B.T.P. 1";"09288409";""
"MAERSK RUBICON";"SINGAPURENSE";"250
9";"Long";"28/09/2025 15:06:00";"";"LACHMANN AGENCIA MARITIMA LTDA";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"1800
1800";"4179--
2025";"355232025";"B";"B.T.P. 1";"09632480";""
"LOG-IN EXPERIENCE (REB)";"BRASILEIRA";"200
9.1";"Cabo";"28/09/2025 18:00:00";"";"MSC MEDITERRANEAN SHIPPING DO BR";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"7200
7200";"4341-2
2025";"435142025";"B";"TECON";"09961972";""
"MSC CARLOTTA";"LIBERIANA";"314
11.3";"Long";"28/09/2025 19:00:00";"";"MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"1800
27000";"4384-3
2025";"431422025";"B";"TECON";"09756731";""
"NAVIOS DOMINO";"LIBERIANA";"261
9.9";"Long";"28/09/2025 19:00:00";"";"OCEAN NETWORK EXPRESS (LATIN AMERICA) AGENCIA MARITIMA LTDA";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"1530
15300";"3919--
2025";"391652025";"B";"B.T.P. / TECON";"09478494";""
"DUSSELDORF EXPRESS";"BERMUDAS";"294
7";"Long";"29/09/2025";"";"ROCHAMAR AGENCIA MARITIMA S/A";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"12834
4266";"4248-2
2025";"425192025";"B";"TECON";"09143556";""
"NC BRAVO (REB S/L)";"BRASILEIRA";"224
7";"Cabo";"29/09/2025";"";"ROCHAMAR AGENCIA MARITIMA S/A";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"4500
6300";"4375-4
2025";"438062025";"B";"TECON";"09612791";""
"MSC ATHENS";"LIBERIANA";"300
9.6";"Long";"29/09/2025 08:00:00";"";"MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"1800
18000";"4371-9
2025";"435122025";"B";"B.T.P. 1";"09618305";""
"NC BREDA (REB S/L)";"BRASILEIRA";"224
5";"Cabo";"29/09/2025 10:00:00";"";"ROCHAMAR AGENCIA MARITIMA S/A";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"4500
6300";"4236-4
2025";"424482025";"B";"TECON";"09612765";""
"LOG-IN ENDURANCE (REB)";"BRASILEIRA";"213
9.1";"Cabo";"29/09/2025 19:00:00";"";"MSC MEDITERRANEAN SHIPPING DO BR";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"7200
7200";"4383-7
2025";"438772025";"B";"TECON";"09571296";""
"NYK FUTAGO";"SINGAPURENSE";"267
12.5";"Long";"29/09/2025 19:00:00";"";"OCEAN NETWORK EXPRESS (LATIN AMERICA) AGENCIA MARITIMA LTDA";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"15300
9000";"3937-9
2025";"393552025";"B";"EPORT 1/TECON 1";"09487524";""
"ONE AMAZON";"HONG KONG";"330
12.2";"Long";"29/09/2025 19:00:00";"";"OCEAN NETWORK EXPRESS (LATIN AMERICA) AGENCIA MARITIMA LTDA";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"1530
15300";"3927-3
2025";"393652025";"B";"B.T.P. 1";"09937323";""
"MSC AMALFI";"MALTESA";"300
14.2";"Long";"30/09/2025 23:00:00";"";"MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"1800
12600";"4376--
2025";"437992025";"B";"TECON";"09605279";""
"COSCO SHIPPING ARGENTINA";"HONG KONG";"336
12.3";"Long";"01/10/2025 07:00:00";"";"COSCO BRASIL S/A";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"9000
3600";"4216-3
2025";"422382025";"B";"TECON";"09945849";""
"XIN CHONG QING";"CHINESA";"263
11.5";"Long";"01/10/2025 07:00:00";"";"COSCO BRASIL S/A";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"9000
3600";"4207-4
2025";"422252025";"B";"TECON";"09262118";""
"AS SABINE";"LIBERIANA";"172
9";"Long";"01/10/2025 14:00:00";"";"LACHMANN AGENCIA MARITIMA LTDA";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"1800
1800";"4306-2
2025";"365812025";"B";"B.T.P. 1";"09813802";""
"LOG-IN PANTANAL (REB)";"BRASILEIRA";"183
9.1";"Cabo";"01/10/2025 17:00:00";"";"MSC MEDITERRANEAN SHIPPING DO BR";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"7200
7200";"4382--
2025";"438802025";"B";"TECON";"09351799";""
"VELIKA";"LIBERIANA";"243
5";"Long";"02/10/2025";"";"ROCHAMAR AGENCIA MARITIMA S/A";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"4536
360";"4307-9
2025";"431632025";"B";"EPORT 1/TECON 1";"09243162";""
"VICENTE PINZÓN";"BRASILEIRA";"255
9";"Cabo";"02/10/2025 02:00:00";"";"LACHMANN AGENCIA MARITIMA LTDA";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"1800
1800";"4274-3
2025";"404542025";"B";"EPORT 1/TECON 1";"09625396";""
"COSCO SHIPPING BRAZIL";"HONG KONG";"336
11.5";"Long";"02/10/2025 07:00:00";"";"COSCO BRASIL S/A";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"3600
9000";"4217-0
2025";"422402025";"B";"TECON";"09945837";""
"PEDRO ÁLVARES CABRAL";"BRASILEIRA";"228
9";"Cabo";"03/10/2025 14:00:00";"";"LACHMANN AGENCIA MARITIMA LTDA";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"3600
3600";"4277-2
2025";"404592025";"B";"EPORT 1/TECON 1";"09603219";""
"MAERSK LOTA";"DINAMARQUESA";"300
9";"Long";"03/10/2025 15:49:00";"";"LACHMANN AGENCIA MARITIMA LTDA";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"1800
1800";"4385-0
2025";"381682025";"B";"TECON";"09526954";""
"RDO FORTUNE";"LIBERIANA";"256
5";"Long";"04/10/2025";"";"ROCHAMAR AGENCIA MARITIMA S/A";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"16956
486";"4361-3
2025";"436742025";"B";"EPORT 1/TECON 1";"09623673";""
"EVER FUTURE";"SINGAPURENSE";"334
13";"Long";"04/10/2025 01:00:00";"";"EVERGREEN SHIPPING AGENCY(BR) SA";"EMB
";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"180
";"4308-5
2025";"431402025";"B";"TECON";"09850599";""
"ONE PARANA";"HONG KONG";"330
14.5";"Long";"04/10/2025 01:00:00";"";"OCEAN NETWORK EXPRESS (LATIN AMERICA) AGENCIA MARITIMA LTDA";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"1530
15300";"3882-0
2025";"390472025";"B";"B.T.P. 1";"09937335";""
"SEATTLE C";"CIPRIOTA";"260
10.7";"Long";"05/10/2025 07:00:00";"";"COSCO BRASIL S/A";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"3600
9000";"4219-2
2025";"422442025";"B";"TECON";"09360910";""
"MSC ADELE";"LIBERIANA";"335
11.3";"Long";"05/10/2025 19:00:00";"";"MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"1800
27000";"4297-3
2025";"429232025";"B";"TECON";"01016692";""
"LORI";"LIBERIANA";"228
9";"Long";"06/10/2025";"";"ROCHAMAR AGENCIA MARITIMA S/A";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"12834
4266";"4369-4
2025";"436842025";"B";"TECON";"09631125";""
"WIDE HOTEL";"ILHAS MARSHALL";"255
11";"Long";"06/10/2025 19:00:00";"";"OCEAN NETWORK EXPRESS (LATIN AMERICA) AGENCIA MARITIMA LTDA";"EMB
";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"15300
";"4144-2
2025";"415262025";"B";"EPORT 1/TECON 1";"09694593";""
"MAERSK GANGES (REB)";"BRASILEIRA";"255
9";"Cabo";"09/10/2025 02:00:00";"";"LACHMANN AGENCIA MARITIMA LTDA";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"1800
1800";"4273-7
2025";"404822025";"B";"EPORT 1/TECON 1";"09694581";""
"SEBASTIÃO CABOTO";"BRASILEIRA";"228
9";"Cabo";"10/10/2025 14:00:00";"";"LACHMANN AGENCIA MARITIMA LTDA";"EMB
";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"3600
";"4279-5
2025";"421772025";"B";"EPORT 1/TECON 1";"09602875";""
"BARTOLOMEU DIAS";"BRASILEIRA";"255
9";"Cabo";"16/10/2025 02:00:00";"";"LACHMANN AGENCIA MARITIMA LTDA";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"1800
1800";"4271-4
2025";"426682025";"B";"EPORT 1/TECON 1";"09625384";""
"FERNÃO DE MAGALHÃES";"BRASILEIRA";"228
9";"Cabo";"17/10/2025 14:00:00";"";"LACHMANN AGENCIA MARITIMA LTDA";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"3600
3600";"4278-9
2025";"426812025";"B";"EPORT 1/TECON 1";"09603221";""
"VICENTE PINZÓN";"BRASILEIRA";"255
9";"Cabo";"23/10/2025 02:00:00";"";"LACHMANN AGENCIA MARITIMA LTDA";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"1800
1800";"4275-0
2025";"423662025";"B";"EPORT 1/TECON 1";"09625396";""
"PRIORIDADE C3"
"Navio
Ship";"Bandeira
Flag";"Com/Len
Cal/Draft";"Nav";"Cheg/Arrival
d/m/y";"Carimbo
Notice";"Agência
Office";"Operaç
Operat";"Mercadoria
Goods";"Peso
Weight";"Viagem
Voyage";"DUV";"P";"Terminal";"IMO"
"BANGLAR JOYJATRA";"BANGLADESHI";"180
9";"Long";"31/08/2025 07:45:00";"3875-0";"ROCHAMAR AGENCIA MARITIMA S/A";"EMB
";"ACUCAR
";"35000
";"4097-4
2025";"411892025";"C3";"16/17-19";"09793820";""
"JAL KUMUD";"SINGAPURENSE";"200
9";"Long";"12/09/2025 08:30:00";"4043-6";"ROCHAMAR AGENCIA MARITIMA S/A";"EMB
";"ACUCAR
";"61063
";"4286-1
2025";"427432025";"C3";"16/17-TEAG";"09990337";""
"JERVIS BAY";"HONG KONG";"180
8.3";"Long";"12/09/2025 10:00:00";"4035-5";"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO";"EMB
";"ACUCAR
";"16500
";"4100-5
2025";"412312025";"C3";"30/31";"09610688";""
"KEN WAVE";"LIBERIANA";"190
7";"Long";"13/09/2025 16:00:00";"4058-4";"ORION OPERACOES PORTUARIAS LTDA";"EMB
";"ACUCAR
";"52152
";"4160-8
2025";"416442025";"C3";"16/17-TEAG";"09454204";""
"AE SATURN";"LIBERIANA";"190
9";"Long";"17/09/2025 12:12:00";"4120-3";"ROCHAMAR AGENCIA MARITIMA S/A";"EMB
";"ACUCAR
";"47500
";"4233-5
2025";"423802025";"C3";"ULTRAF - 16/17";"09324667";""
"PRINCESS SHAHD";"MALTESA";"180
10";"Long";"19/09/2025";"";"ORION OPERACOES PORTUARIAS LTDA";"EMB
";"ACUCAR
";"31300
";"4161-4
2025";"411142025";"C3";"16/17";"09392092";""
"SENTINEL";"PORTUGUESA";"200
9";"Long";"19/09/2025";"";"ROCHAMAR AGENCIA MARITIMA S/A";"EMB
";"ACUCAR
";"32000
";"4096-8
2025";"410482025";"C3";"16/17-TEAG";"09665554";""
"PACIFIC LILY";"ILHAS MARSHALL";"200
9";"Long";"22/09/2025 07:00:00";"";"ROCHAMAR AGENCIA MARITIMA S/A";"EMB
";"ACUCAR
";"57000
";"4349-3
2025";"435762025";"C3";"AR.12A - BG/ITA";"09746023";""
"SAFEEN AL NASR";"ILHAS MARSHALL";"178
10.2";"Long";"22/09/2025 07:00:00";"";"WILLIAMS SERVICOS MARITIMOS LTDA.";"EMB
";"ACUCAR
";"25000
";"4394-9
2025";"436092025";"C3";"30/31";"09612296";""
"TAHO VIRTUE";"LIBERIANA";"228
9";"Long";"28/09/2025 07:00:00";"";"ROCHAMAR AGENCIA MARITIMA S/A";"EMB
";"ACUCAR
";"81600
";"4264-8
2025";"426842025";"C3";"16/17-19";"09919321";""
"PRIORIDADE C5"
"Navio
Ship";"Bandeira
Flag";"Com/Len
Cal/Draft";"Nav";"Cheg/Arrival
d/m/y";"Carimbo
Notice";"Agência
Office";"Operaç
Operat";"Mercadoria
Goods";"Peso
Weight";"Viagem
Voyage";"DUV";"P";"Terminal";"IMO"
"MERLIN";"ILHAS MARSHALL";"183
8";"Long";"18/09/2025 19:45:00";"4141-6";"RELIANCE AGENCIAMENTO E SERVICOS PORTUARIOS LTDA.";"EMB
";"CARGA GERAL
";"13665
";"4359-9
2025";"436872025";"C5";"CODESP-RUA";"09604847";""
"ALPHARD";"BRASILEIRA";"24
3.5";"Long";"19/09/2025";"";"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO";"EMB
";"OUTROS
";"1
";"4225-2
2025";"423012025";"C5";"SAIPEN";"09573206";""
"SAHY";"BRASILEIRA";"41
1.5";"Long";"19/09/2025";"";"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO";"EMB
";"OUTROS
";"1
";"4327-0
2025";"406172025";"C5";"SAIPEN";"09999312";""
"SAVEIROS PELICANO";"BRASILEIRA";"72
5";"Long";"19/09/2025";"";"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO";"EMB
";"OUTROS
";"1000
";"3269-6
2025";"322812025";"C5";"SAIPEN";"09424962";""
"WS ARIES";"BRASILEIRA";"33
3";"Long";"19/09/2025";"";"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO";"EMB
";"OUTROS
";"1
";"3872-4
2025";"389312025";"C5";"SAIPEN";"09834557";""
"ZHONG YUAN HAI YUN KAI TU";"CHINESA";"202
12";"Long";"19/09/2025";"";"WILHELMSEN PORT SERVICES BRASIL LTDA";"EMB
";"PAPEL E CELULOSE
";"18400
";"4018-7
2025";"403692025";"C5";"EPORT 1/TECON 1";"09837640";""
"HARIS";"BRASILEIRA";"29
3";"Long";"19/09/2025 07:00:00";"";"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO";"EMB
";"OUTROS
";"10
";"4378-3
2025";"436282025";"C5";"W e S";"09341859";""
"SAGA ENTERPRISE";"BAHAMENSE";"199
9";"Long";"20/09/2025";"";"LACHMANN AGENCIA MARITIMA LTDA";"EMB
";"PAPEL E CELULOSE
";"25500
";"4247-6
2025";"423462025";"C5";"CODESP-RUA";"09343481";""
"LYRA";"BRASILEIRA";"24
3.4";"Long";"20/09/2025 06:00:00";"";"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO";"EMB
";"OUTROS
";"1
";"4352-4
2025";"430952025";"C5";"SAIPEN";"09541772";""
"SEM PRIORIDADE"
"Navio
Ship";"Bandeira
Flag";"Com/Len
Cal/Draft";"Nav";"Cheg/Arrival
d/m/y";"Carimbo
Notice";"Agência
Office";"Operaç
Operat";"Mercadoria
Goods";"Peso
Weight";"Viagem
Voyage";"DUV";"P";"Terminal";"IMO"
"CAPE SPENCER";"PANAMENHA";"183
5.7";"Cabo";"11/08/2025 19:42:00";"3538-6";"LNUNES SHIPPING LTDA";"EMB
";"CONSUMO DE BORDO
";"30
";"3693-2
2025";"367602025";"SP";"CAIS SABOO";"09968982";""
"UTRECHT";"HOLANDESA";"154
8";"Long";"15/08/2025 10:00:00";"3601-3";"UNIMAR AGENCIAMENTOS MARITIMOS LTDA";"EMB
";"CARGA GERAL
";"1
";"3727-4
2025";"373622025";"B";"CODESP-RUA";"09125956";""
"SAIPEM FDS";"BAHAMENSE";"163
5";"Long";"30/08/2025 08:40:00";"3851-2";"UNIMAR AGENCIAMENTOS MARITIMOS LTDA";"EMB
";"CARGA GERAL
";"1000
";"2115-5
2025";"179792025";"B";"SAIPEN";"09210749";""
"CBO ANITA";"BRASILEIRA";"76
4";"Long";"18/09/2025 12:30:00";"4138-6";"UNIMAR AGENCIAMENTOS MARITIMOS LTDA";"EMB
";"CARGA GERAL
";"1
";"3784-8
2025";"377732025";"B";"SAIPEN";"09477402";""
"BRASILIA HIGHWAY";"PANAMENHA";"200
8";"Long";"19/09/2025";"";"UNIMAR AGENCIAMENTOS MARITIMOS LTDA";"EMB
DESC";"VEICULO
VEICULOS/VRS/CCS.RO-RO";"9800
203";"4166-6
2025";"381292025";"SP";"TEVI";"09519119";""
"CBO ANITA";"BRASILEIRA";"76
4";"Long";"19/09/2025";"";"UNIMAR AGENCIAMENTOS MARITIMOS LTDA";"EMB
";"CARGA GERAL
";"1
";"3943-9
2025";"397182025";"B";"SAIPEN";"09477402";""
"CEDAR ARROW";"BAHAMENSE";"190
9";"Long";"19/09/2025";"";"ROCHAMAR AGENCIA MARITIMA S/A";"EMB
";"PAPEL E CELULOSE
";"24000
";"3984-7
2025";"399502025";"B";"32";"09232802";""
"CNL AMETISTA";"BRASILEIRA";"29
3";"Long";"19/09/2025";"";"ZPORT AGENCIA MARITIMA LTDA";"EMB
";"CARGA GERAL
";"1
";"4204-5
2025";"420202025";"B";"W e S";"09224893";""
"COSCO SHIPPING CHANG QING";"CHINESA";"202
10";"Long";"19/09/2025";"";"WILHELMSEN PORT SERVICES BRASIL LTDA";"EMB
";"PAPEL E CELULOSE
";"37
";"3100-1
2025";"307072025";"B";"EPORT 1/TECON 1";"09872171";""
"COSCO SHIPPING PENG BO";"CHINESA";"202
12";"Long";"19/09/2025";"";"WILHELMSEN PORT SERVICES BRASIL LTDA";"EMB
";"PAPEL E CELULOSE
";"58000
";"3279-1
2025";"328152025";"B";"EPORT 1/TECON 1";"09928920";""
"COSCO SHIPPING PENG CHENG";"CHINESA";"202
12";"Long";"19/09/2025";"";"WILHELMSEN PORT SERVICES BRASIL LTDA";"EMB
";"PAPEL E CELULOSE
";"58000
";"4013-5
2025";"403472025";"B";"EPORT 1/TECON 1";"09872195";""
"GREEN OSHIMA";"PANAMENHA";"210
12";"Long";"19/09/2025";"";"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO";"EMB
";"PAPEL E CELULOSE
";"65000
";"3375--
2025";"337832025";"B";"CODESP-RUA";"01027354";""
"M AVEIRO";"BRASILEIRA";"31
3";"Long";"19/09/2025";"";"ROCHAMAR AGENCIA MARITIMA S/A";"EMB
";"REPAROS
";"27
";"3095-8
2025";"307262025";"SP";"CAIS SABOO";"09999277";""
